userName,passwordHash,role,employeeNumber,failedAttemps,lastLogIn
admin_10001,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,ADMIN,10001,0,2026-03-11T16:36:49.347785600
emp_10002,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b00,EMPLOYEE,10002,0,2026-03-09T23:46:06.806739400
emp_10003,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b02,EMPLOYEE,10003,0,null
emp_10004,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b03,EMPLOYEE,10004,0,null
it_10005,37a3406d73c0f39e73a19006e2c687863760a65f10d97147d490852280a4b621,IT,10005,0,2026-03-11T16:30:22.382493
hr_10006,070a3b5e8d4bd5c46acccb91c9c54614c0cd649e78c4c4719e3a64270bae5ddf,HR,10006,0,2026-03-09T23:46:56.457819900
hr_10007,070a3b5e8d4bd5c46acccb91c9c54614c0cd649e78c4c4719e3a64270bae5ddf,HR,10007,0,null
hr_10008,070a3b5e8d4bd5c46acccb91c9c54614c0cd649e78c4c4719e3a64270bae5ddf,HR,10008,0,null
hr_10009,070a3b5e8d4bd5c46acccb91c9c54614c0cd649e78c4c4719e3a64270bae5ddf,HR,10009,0,2026-03-09T02:50:19.194276300
acct_10010,f14e7c0ce29a6bd156edd65701f6ea7f93a26f28bb69ea762a5de6200f7d3637,ACCOUNTANT,10010,0,2026-03-09T23:47:53.351124100
acct_10011,f14e7c0ce29a6bd156edd65701f6ea7f93a26f28bb69ea762a5de6200f7d3634,ACCOUNTANT,10011,0,null
acct_10012,f14e7c0ce29a6bd156edd65701f6ea7f93a26f28bb69ea762a5de6200f7d3635,ACCOUNTANT,10012,0,null
acct_10013,f14e7c0ce29a6bd156edd65701f6ea7f93a26f28bb69ea762a5de6200f7d3636,ACCOUNTANT,10013,0,null
acct_10014,f14e7c0ce29a6bd156edd65701f6ea7f93a26f28bb69ea762a5de6200f7d3637,ACCOUNTANT,10014,0,null
emp_10015,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b00,EMPLOYEE,10015,0,null
emp_10016,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b01,EMPLOYEE,10016,0,null
emp_10017,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b02,EMPLOYEE,10017,0,null
emp_10018,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b03,EMPLOYEE,10018,0,null
emp_10019,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b04,EMPLOYEE,10019,0,null
emp_10020,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b00,EMPLOYEE,10020,0,2026-03-11T16:18:11.940556400
emp_10021,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b06,EMPLOYEE,10021,0,null
emp_10022,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b07,EMPLOYEE,10022,0,null
emp_10023,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b00,EMPLOYEE,10023,0,2026-03-11T16:35:59.710413200
emp_10024,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b00,EMPLOYEE,10024,0,2026-03-11T16:28:15.639769
emp_10025,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b10,EMPLOYEE,10025,0,null
emp_10026,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b11,EMPLOYEE,10026,0,null
emp_10027,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b12,EMPLOYEE,10027,0,null
emp_10028,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b13,EMPLOYEE,10028,0,null
emp_10029,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b14,EMPLOYEE,10029,0,null
emp_10030,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b15,EMPLOYEE,10030,0,null
emp_10031,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b16,EMPLOYEE,10031,0,null
emp_10032,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b17,EMPLOYEE,10032,0,null
emp_10033,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b18,EMPLOYEE,10033,0,null
emp_10034,e03d3ec8d5035f8721f5dc64546e59ed790dbcb3b7b598fe57057ccd7b683b00,EMPLOYEE,10034,2,2026-03-08T23:15:58.212063800
